id,name,city,state,categories,mission_goals,description,registration_id,accepts_items,accepts_volunteer_skills,website
4645,Dhanak Society,Chennai,Tamil Nadu,education,"We provide support and resources for education, aiming to build local resilience and skills.",A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG50808286,"hygiene kits, medical supplies","event management, data analysis, agriculture expertise",
4646,Jeevan Charitable Trust,Visakhapatnam,Andhra Pradesh,research,"Working towards sustainable research solutions, focusing on community-driven projects and capacity building.",Jeevan Charitable Trust runs multiple initiatives in Visakhapatnam related to research and works closely with local beneficiaries.,REG17662687,"stationery, computers, toys","marketing, medical, teaching",https://www.jeevancharitabletrust.org
4647,Udaan Foundation,Jaipur,Rajasthan,"agriculture, microfinance","Working towards sustainable agriculture solutions, focusing on community-driven projects and capacity building.",Udaan Foundation runs multiple initiatives in Jaipur related to agriculture and works closely with local beneficiaries.,REG70501788,"stationery, books","project management, counselling, teaching",
4648,Nayi Soch Seva Kendra,Vadodara,Gujarat,microfinance,"Focused on inclusive microfinance programs, especially targeting women, children and marginalized groups.",Nayi Soch Seva Kendra runs multiple initiatives in Vadodara related to microfinance and works closely with local beneficiaries.,REG11711689,,"fundraising, legal aid",https://www.nayisochsevakendra.org
4649,Shram Seva Kendra,Thiruvananthapuram,Kerala,mental health,Committed to delivering scalable mental health interventions through partnerships with local stakeholders.,"Shram Seva Kendra works across Thiruvananthapuram, offering programs in mental health. They focus on long-term impact and community engagement.",REG45886290,"toys, kitchenware",,
4650,Seva Initiative,Ahmedabad,Gujarat,microfinance,To improve access to microfinance services for underserved communities in Ahmedabad and surrounding areas.,"Seva Initiative works across Ahmedabad, offering programs in microfinance. They focus on long-term impact and community engagement.",REG87711991,clothes,"legal aid, marketing",
4651,Sankriti Society,Bengaluru,Karnataka,"human rights, research",To improve access to human rights services for underserved communities in Bengaluru and surrounding areas.,A grassroots organization dedicated to human rights with experience in project implementation and volunteer coordination.,REG97930692,books,"fundraising, medical, counselling",https://www.sankritisociety.org
4652,Jagruti Centre,Ahmedabad,Gujarat,housing,"We provide support and resources for housing, aiming to build local resilience and skills.","Jagruti Centre works across Ahmedabad, offering programs in housing. They focus on long-term impact and community engagement.",REG12969693,"stationery, clothes, hygiene kits","mentoring, logistics",
4653,Seva Charitable Trust,Bhopal,Madhya Pradesh,"disability support, research","We provide support and resources for disability support, aiming to build local resilience and skills.",Seva Charitable Trust runs multiple initiatives in Bhopal related to disability support and works closely with local beneficiaries.,REG95552694,,"counselling, logistics",
4654,Sahyog Centre,Kochi,Kerala,"arts & culture, microfinance",To improve access to arts & culture services for underserved communities in Kochi and surrounding areas.,Sahyog Centre runs multiple initiatives in Kochi related to arts & culture and works closely with local beneficiaries.,REG89561595,,"project management, software development",
4655,Sankriti Seva Kendra,Hyderabad,Telangana,"water & sanitation, animal welfare","Working towards sustainable water & sanitation solutions, focusing on community-driven projects and capacity building.","Sankriti Seva Kendra works across Hyderabad, offering programs in water & sanitation. They focus on long-term impact and community engagement.",REG93102596,"stationery, blankets",construction,
4656,Seva Federation,Chennai,Tamil Nadu,"water & sanitation, child welfare","Focused on inclusive water & sanitation programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to water & sanitation with experience in project implementation and volunteer coordination.,REG1269240,"books, hygiene kits, toys","software development, data analysis, medical",
4657,Nayi Disha Association,Chennai,Tamil Nadu,disaster relief,"Focused on inclusive disaster relief programs, especially targeting women, children and marginalized groups.","Nayi Disha Association works across Chennai, offering programs in disaster relief. They focus on long-term impact and community engagement.",REG4169161,,counselling,
4658,Jeevan Charitable Trust,Ahmedabad,Gujarat,"research, environment",Committed to delivering scalable research interventions through partnerships with local stakeholders.,A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG1173922,,"teaching, construction, software development",https://www.jeevancharitabletrust.org
4659,Nirmaan Centre,Bhopal,Madhya Pradesh,child welfare,To improve access to child welfare services for underserved communities in Bhopal and surrounding areas.,A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG6625073,,"software development, teaching, agriculture expertise",
4660,Nayi Disha Mission,Hyderabad,Telangana,"housing, elderly care","Working towards sustainable housing solutions, focusing on community-driven projects and capacity building.",Nayi Disha Mission runs multiple initiatives in Hyderabad related to housing and works closely with local beneficiaries.,REG3250964,clothes,"counselling, marketing, software development",
4661,Samarpan Charitable Trust,Bengaluru,Karnataka,environment,"Working towards sustainable environment solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to environment with experience in project implementation and volunteer coordination.,REG3673055,"computers, toys, stationery",project management,https://www.samarpancharitabletrust.org
4662,Nirmaan Association,Visakhapatnam,Andhra Pradesh,"health, child welfare","Focused on inclusive health programs, especially targeting women, children and marginalized groups.",Nirmaan Association runs multiple initiatives in Visakhapatnam related to health and works closely with local beneficiaries.,REG7711656,"clothes, medical supplies",project management,
4663,Prerna Charitable Trust,Indore,Madhya Pradesh,human rights,"Working towards sustainable human rights solutions, focusing on community-driven projects and capacity building.",Prerna Charitable Trust runs multiple initiatives in Indore related to human rights and works closely with local beneficiaries.,REG4235077,"hygiene kits, kitchenware",,
4664,Seva Society,Indore,Madhya Pradesh,human rights,"We provide support and resources for human rights, aiming to build local resilience and skills.",Seva Society runs multiple initiatives in Indore related to human rights and works closely with local beneficiaries.,REG8760948,"kitchenware, medical supplies",marketing,https://www.sevasociety.org
4665,Nirmaan Seva Kendra,Patna,Bihar,education,"We provide support and resources for education, aiming to build local resilience and skills.",A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG9321169,,"data analysis, teaching",https://www.nirmaansevakendra.org
4666,Nirmaan Charitable Trust,Kochi,Kerala,water & sanitation,Committed to delivering scalable water & sanitation interventions through partnerships with local stakeholders.,A grassroots organization dedicated to water & sanitation with experience in project implementation and volunteer coordination.,REG29559010,"stationery, blankets","mentoring, medical, counselling",
4667,Sahyog Trust,Bhopal,Madhya Pradesh,human rights,"Working towards sustainable human rights solutions, focusing on community-driven projects and capacity building.","Sahyog Trust works across Bhopal, offering programs in human rights. They focus on long-term impact and community engagement.",REG24874711,"hygiene kits, toys, kitchenware",counselling,
4668,Samarpan Centre,Visakhapatnam,Andhra Pradesh,skill development,"We provide support and resources for skill development, aiming to build local resilience and skills.",Samarpan Centre runs multiple initiatives in Visakhapatnam related to skill development and works closely with local beneficiaries.,REG50167512,,,https://www.samarpancentre.org
4669,Nayi Disha Seva Kendra,Mumbai,Maharashtra,"rural development, mental health","We provide support and resources for rural development, aiming to build local resilience and skills.","Nayi Disha Seva Kendra works across Mumbai, offering programs in rural development. They focus on long-term impact and community engagement.",REG99267013,"stationery, toys","logistics, medical, event management",
4670,Nirmaan Seva Kendra,Kochi,Kerala,"elderly care, child welfare","Focused on inclusive elderly care programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG65018214,computers,"marketing, medical",
4671,Asha Association,Hyderabad,Telangana,skill development,Committed to delivering scalable skill development interventions through partnerships with local stakeholders.,"Asha Association works across Hyderabad, offering programs in skill development. They focus on long-term impact and community engagement.",REG26618415,clothes,"counselling, logistics",
4672,Jeevan Centre,Surat,Gujarat,housing,"Focused on inclusive housing programs, especially targeting women, children and marginalized groups.","Jeevan Centre works across Surat, offering programs in housing. They focus on long-term impact and community engagement.",REG59547916,food,,
4673,Asha Foundation,Visakhapatnam,Andhra Pradesh,child welfare,Committed to delivering scalable child welfare interventions through partnerships with local stakeholders.,"Asha Foundation works across Visakhapatnam, offering programs in child welfare. They focus on long-term impact and community engagement.",REG45416217,kitchenware,project management,
4674,Nayi Disha Charitable Trust,Bengaluru,Karnataka,"research, child welfare","Focused on inclusive research programs, especially targeting women, children and marginalized groups.",Nayi Disha Charitable Trust runs multiple initiatives in Bengaluru related to research and works closely with local beneficiaries.,REG81599418,"medical supplies, food, clothes",mentoring,
4675,Nirmaan Federation,Kochi,Kerala,mental health,"Focused on inclusive mental health programs, especially targeting women, children and marginalized groups.",Nirmaan Federation runs multiple initiatives in Kochi related to mental health and works closely with local beneficiaries.,REG87892819,"medical supplies, kitchenware, stationery",,https://www.nirmaanfederation.org
4676,Nayi Disha Centre,Bengaluru,Karnataka,"animal welfare, housing","We provide support and resources for animal welfare, aiming to build local resilience and skills.",Nayi Disha Centre runs multiple initiatives in Bengaluru related to animal welfare and works closely with local beneficiaries.,REG42960720,"toys, hygiene kits, kitchenware","legal aid, fundraising",
4677,Pragati Trust,Bhopal,Madhya Pradesh,"environment, housing","We provide support and resources for environment, aiming to build local resilience and skills.",A grassroots organization dedicated to environment with experience in project implementation and volunteer coordination.,REG24376521,"stationery, computers","software development, agriculture expertise",
4678,Udaan Initiative,Pune,Maharashtra,"research, housing","Focused on inclusive research programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG83994922,"computers, medical supplies, hygiene kits","counselling, legal aid",https://www.udaaninitiative.org
4679,Dhanak Centre,Lucknow,Uttar Pradesh,disaster relief,"We provide support and resources for disaster relief, aiming to build local resilience and skills.",A grassroots organization dedicated to disaster relief with experience in project implementation and volunteer coordination.,REG30089023,"clothes, computers","medical, data analysis",
4680,Sahyog Charitable Trust,Delhi,Delhi,"child welfare, women empowerment","We provide support and resources for child welfare, aiming to build local resilience and skills.",Sahyog Charitable Trust runs multiple initiatives in Delhi related to child welfare and works closely with local beneficiaries.,REG32260624,"computers, stationery",marketing,
4681,Jeevan Seva Kendra,Indore,Madhya Pradesh,"agriculture, arts & culture","Working towards sustainable agriculture solutions, focusing on community-driven projects and capacity building.",Jeevan Seva Kendra runs multiple initiatives in Indore related to agriculture and works closely with local beneficiaries.,REG47764325,,"data analysis, logistics, project management",
4682,Asha Centre,Guwahati,Assam,"women empowerment, livelihood","Focused on inclusive women empowerment programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to women empowerment with experience in project implementation and volunteer coordination.,REG79931126,"blankets, toys",,
4683,Samanvay Initiative,Jaipur,Rajasthan,livelihood,"Focused on inclusive livelihood programs, especially targeting women, children and marginalized groups.","Samanvay Initiative works across Jaipur, offering programs in livelihood. They focus on long-term impact and community engagement.",REG10017027,"books, toys",,
4684,Nayi Disha Trust,Indore,Madhya Pradesh,elderly care,Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG57761528,"books, kitchenware",project management,
4685,Samarpan Mission,Mumbai,Maharashtra,"research, housing","Working towards sustainable research solutions, focusing on community-driven projects and capacity building.","Samarpan Mission works across Mumbai, offering programs in research. They focus on long-term impact and community engagement.",REG93587629,"hygiene kits, toys, kitchenware","software development, marketing",
4686,Pragati Centre,Lucknow,Uttar Pradesh,"animal welfare, disability support","Working towards sustainable animal welfare solutions, focusing on community-driven projects and capacity building.",Pragati Centre runs multiple initiatives in Lucknow related to animal welfare and works closely with local beneficiaries.,REG61301830,"toys, books, clothes",software development,
4687,Dhanak Mission,Guwahati,Assam,elderly care,Committed to delivering scalable elderly care interventions through partnerships with local stakeholders.,A grassroots organization dedicated to elderly care with experience in project implementation and volunteer coordination.,REG91842431,,"agriculture expertise, project management",
4688,Sankalp Association,Mumbai,Maharashtra,skill development,"We provide support and resources for skill development, aiming to build local resilience and skills.",A grassroots organization dedicated to skill development with experience in project implementation and volunteer coordination.,REG23463732,"kitchenware, stationery","construction, data analysis",
4689,Pragati Charitable Trust,Bhopal,Madhya Pradesh,"human rights, skill development",To improve access to human rights services for underserved communities in Bhopal and surrounding areas.,"Pragati Charitable Trust works across Bhopal, offering programs in human rights. They focus on long-term impact and community engagement.",REG21944233,kitchenware,software development,
4690,Udaan Association,Bengaluru,Karnataka,child welfare,To improve access to child welfare services for underserved communities in Bengaluru and surrounding areas.,Udaan Association runs multiple initiatives in Bengaluru related to child welfare and works closely with local beneficiaries.,REG12355534,"stationery, clothes",,
4691,Jeevan Initiative,Pune,Maharashtra,"animal welfare, rural development",Committed to delivering scalable animal welfare interventions through partnerships with local stakeholders.,Jeevan Initiative runs multiple initiatives in Pune related to animal welfare and works closely with local beneficiaries.,REG99720735,"blankets, books",,
4692,Nayi Soch Federation,Chennai,Tamil Nadu,education,"Working towards sustainable education solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG54987436,"blankets, medical supplies",,
4693,Samarpan Centre,Visakhapatnam,Andhra Pradesh,education,"Working towards sustainable education solutions, focusing on community-driven projects and capacity building.","Samarpan Centre works across Visakhapatnam, offering programs in education. They focus on long-term impact and community engagement.",REG86870837,"food, kitchenware",,
4694,Saathi Centre,Vadodara,Gujarat,"child welfare, housing","We provide support and resources for child welfare, aiming to build local resilience and skills.",Saathi Centre runs multiple initiatives in Vadodara related to child welfare and works closely with local beneficiaries.,REG30873038,"stationery, toys, kitchenware","construction, teaching",https://www.saathicentre.org
4695,Nayi Disha Society,Delhi,Delhi,women empowerment,"Focused on inclusive women empowerment programs, especially targeting women, children and marginalized groups.",Nayi Disha Society runs multiple initiatives in Delhi related to women empowerment and works closely with local beneficiaries.,REG55205339,,project management,
4696,Nayi Soch Charitable Trust,Hyderabad,Telangana,child welfare,Committed to delivering scalable child welfare interventions through partnerships with local stakeholders.,Nayi Soch Charitable Trust runs multiple initiatives in Hyderabad related to child welfare and works closely with local beneficiaries.,REG47849440,,"project management, legal aid, marketing",
4697,Jeevan Association,Thiruvananthapuram,Kerala,disability support,To improve access to disability support services for underserved communities in Thiruvananthapuram and surrounding areas.,"Jeevan Association works across Thiruvananthapuram, offering programs in disability support. They focus on long-term impact and community engagement.",REG23903741,,,
4698,Samanvay Society,Chennai,Tamil Nadu,child welfare,To improve access to child welfare services for underserved communities in Chennai and surrounding areas.,Samanvay Society runs multiple initiatives in Chennai related to child welfare and works closely with local beneficiaries.,REG87550842,"food, toys, kitchenware","event management, construction",
4699,Nirmaan Foundation,Delhi,Delhi,elderly care,To improve access to elderly care services for underserved communities in Delhi and surrounding areas.,"Nirmaan Foundation works across Delhi, offering programs in elderly care. They focus on long-term impact and community engagement.",REG75295043,toys,marketing,https://www.nirmaanfoundation.org
4700,Asha Society,Mumbai,Maharashtra,microfinance,"We provide support and resources for microfinance, aiming to build local resilience and skills.",A grassroots organization dedicated to microfinance with experience in project implementation and volunteer coordination.,REG45035144,"food, hygiene kits, toys",mentoring,
4701,Nayi Soch Charitable Trust,Bhopal,Madhya Pradesh,child welfare,"We provide support and resources for child welfare, aiming to build local resilience and skills.",A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG84421345,computers,"teaching, data analysis",https://www.nayisochcharitabletrust.org
4702,Sankalp Seva Kendra,Lucknow,Uttar Pradesh,disability support,"We provide support and resources for disability support, aiming to build local resilience and skills.","Sankalp Seva Kendra works across Lucknow, offering programs in disability support. They focus on long-term impact and community engagement.",REG57515146,"computers, blankets, books",,
4703,Asha Society,Hyderabad,Telangana,housing,To improve access to housing services for underserved communities in Hyderabad and surrounding areas.,Asha Society runs multiple initiatives in Hyderabad related to housing and works closely with local beneficiaries.,REG51846247,"hygiene kits, medical supplies, kitchenware","counselling, project management",
4704,Nirmaan Association,Chennai,Tamil Nadu,"environment, research","We provide support and resources for environment, aiming to build local resilience and skills.","Nirmaan Association works across Chennai, offering programs in environment. They focus on long-term impact and community engagement.",REG28237348,"hygiene kits, food",,
4705,Sankriti Charitable Trust,Indore,Madhya Pradesh,mental health,Committed to delivering scalable mental health interventions through partnerships with local stakeholders.,Sankriti Charitable Trust runs multiple initiatives in Indore related to mental health and works closely with local beneficiaries.,REG52419149,,marketing,
4706,Pragati Charitable Trust,Visakhapatnam,Andhra Pradesh,housing,"We provide support and resources for housing, aiming to build local resilience and skills.","Pragati Charitable Trust works across Visakhapatnam, offering programs in housing. They focus on long-term impact and community engagement.",REG75739050,,logistics,
4707,Prerna Federation,Ahmedabad,Gujarat,"health, mental health",To improve access to health services for underserved communities in Ahmedabad and surrounding areas.,Prerna Federation runs multiple initiatives in Ahmedabad related to health and works closely with local beneficiaries.,REG11810151,"stationery, blankets, books","teaching, medical",
4708,Jeevan Centre,Thiruvananthapuram,Kerala,animal welfare,"Focused on inclusive animal welfare programs, especially targeting women, children and marginalized groups.","Jeevan Centre works across Thiruvananthapuram, offering programs in animal welfare. They focus on long-term impact and community engagement.",REG59199352,,teaching,https://www.jeevancentre.org
4709,Udaan Association,Surat,Gujarat,microfinance,"Working towards sustainable microfinance solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to microfinance with experience in project implementation and volunteer coordination.,REG41041453,hygiene kits,marketing,
4710,Dhanak Centre,Guwahati,Assam,research,Committed to delivering scalable research interventions through partnerships with local stakeholders.,A grassroots organization dedicated to research with experience in project implementation and volunteer coordination.,REG91182254,"blankets, kitchenware, food","legal aid, medical, counselling",
4711,Prerna Foundation,Patna,Bihar,human rights,To improve access to human rights services for underserved communities in Patna and surrounding areas.,Prerna Foundation runs multiple initiatives in Patna related to human rights and works closely with local beneficiaries.,REG85678955,"medical supplies, kitchenware, blankets","teaching, marketing",
4712,Jeevan Charitable Trust,Kochi,Kerala,"housing, water & sanitation","Focused on inclusive housing programs, especially targeting women, children and marginalized groups.",Jeevan Charitable Trust runs multiple initiatives in Kochi related to housing and works closely with local beneficiaries.,REG48081956,"hygiene kits, clothes",,
4713,Pragati Trust,Nagpur,Maharashtra,housing,"Working towards sustainable housing solutions, focusing on community-driven projects and capacity building.",Pragati Trust runs multiple initiatives in Nagpur related to housing and works closely with local beneficiaries.,REG89008057,toys,"marketing, logistics",
4714,Jeevan Centre,Bhopal,Madhya Pradesh,child welfare,"Focused on inclusive child welfare programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to child welfare with experience in project implementation and volunteer coordination.,REG29552158,"blankets, food, hygiene kits",,
4715,Nayi Soch Foundation,Mumbai,Maharashtra,"microfinance, health","Working towards sustainable microfinance solutions, focusing on community-driven projects and capacity building.",Nayi Soch Foundation runs multiple initiatives in Mumbai related to microfinance and works closely with local beneficiaries.,REG76307459,"stationery, food","teaching, medical, project management",
4716,Sahyog Society,Ahmedabad,Gujarat,disaster relief,To improve access to disaster relief services for underserved communities in Ahmedabad and surrounding areas.,"Sahyog Society works across Ahmedabad, offering programs in disaster relief. They focus on long-term impact and community engagement.",REG76212060,"kitchenware, stationery, medical supplies","legal aid, construction, teaching",
4717,Samarpan Trust,Pune,Maharashtra,"agriculture, disaster relief","Focused on inclusive agriculture programs, especially targeting women, children and marginalized groups.","Samarpan Trust works across Pune, offering programs in agriculture. They focus on long-term impact and community engagement.",REG77231561,,"fundraising, data analysis, agriculture expertise",https://www.samarpantrust.org
4718,Nirmaan Initiative,Bhopal,Madhya Pradesh,mental health,"Working towards sustainable mental health solutions, focusing on community-driven projects and capacity building.","Nirmaan Initiative works across Bhopal, offering programs in mental health. They focus on long-term impact and community engagement.",REG78313562,"books, hygiene kits",,
4719,Sankalp Centre,Indore,Madhya Pradesh,"disability support, elderly care","Working towards sustainable disability support solutions, focusing on community-driven projects and capacity building.","Sankalp Centre works across Indore, offering programs in disability support. They focus on long-term impact and community engagement.",REG41510963,computers,,https://www.sankalpcentre.org
4720,Sankriti Association,Mumbai,Maharashtra,skill development,Committed to delivering scalable skill development interventions through partnerships with local stakeholders.,A grassroots organization dedicated to skill development with experience in project implementation and volunteer coordination.,REG90886164,,fundraising,
4721,Nayi Disha Charitable Trust,Kolkata,West Bengal,livelihood,To improve access to livelihood services for underserved communities in Kolkata and surrounding areas.,"Nayi Disha Charitable Trust works across Kolkata, offering programs in livelihood. They focus on long-term impact and community engagement.",REG40737665,,"counselling, fundraising",
4722,Seva Trust,Jaipur,Rajasthan,environment,"We provide support and resources for environment, aiming to build local resilience and skills.",Seva Trust runs multiple initiatives in Jaipur related to environment and works closely with local beneficiaries.,REG85679366,"computers, stationery, kitchenware",,
4723,Sahyog Charitable Trust,Vadodara,Gujarat,"disaster relief, education",Committed to delivering scalable disaster relief interventions through partnerships with local stakeholders.,A grassroots organization dedicated to disaster relief with experience in project implementation and volunteer coordination.,REG69944367,,legal aid,https://www.sahyogcharitabletrust.org
4724,Udaan Federation,Surat,Gujarat,"water & sanitation, mental health","We provide support and resources for water & sanitation, aiming to build local resilience and skills.",Udaan Federation runs multiple initiatives in Surat related to water & sanitation and works closely with local beneficiaries.,REG20694468,"food, medical supplies","event management, software development, teaching",
4725,Pragati Mission,Pune,Maharashtra,"human rights, child welfare",To improve access to human rights services for underserved communities in Pune and surrounding areas.,A grassroots organization dedicated to human rights with experience in project implementation and volunteer coordination.,REG74803769,hygiene kits,construction,
4726,Asha Charitable Trust,Jaipur,Rajasthan,"microfinance, water & sanitation","Working towards sustainable microfinance solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to microfinance with experience in project implementation and volunteer coordination.,REG70794370,"clothes, stationery",,https://www.ashacharitabletrust.org
4727,Nayi Soch Association,Hyderabad,Telangana,arts & culture,Committed to delivering scalable arts & culture interventions through partnerships with local stakeholders.,A grassroots organization dedicated to arts & culture with experience in project implementation and volunteer coordination.,REG86382071,"medical supplies, hygiene kits, books",project management,
4728,Saathi Trust,Jaipur,Rajasthan,"disability support, child welfare",Committed to delivering scalable disability support interventions through partnerships with local stakeholders.,A grassroots organization dedicated to disability support with experience in project implementation and volunteer coordination.,REG51228472,clothes,"software development, mentoring, fundraising",
4729,Nirmaan Seva Kendra,Pune,Maharashtra,"health, environment",Committed to delivering scalable health interventions through partnerships with local stakeholders.,Nirmaan Seva Kendra runs multiple initiatives in Pune related to health and works closely with local beneficiaries.,REG41629873,"hygiene kits, stationery, medical supplies",,https://www.nirmaansevakendra.org
4730,Asha Society,Jaipur,Rajasthan,environment,To improve access to environment services for underserved communities in Jaipur and surrounding areas.,A grassroots organization dedicated to environment with experience in project implementation and volunteer coordination.,REG46339274,computers,,
4731,Pragati Charitable Trust,Vadodara,Gujarat,health,"Working towards sustainable health solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to health with experience in project implementation and volunteer coordination.,REG25841275,"books, medical supplies","marketing, project management",
4732,Nirmaan Foundation,Visakhapatnam,Andhra Pradesh,microfinance,To improve access to microfinance services for underserved communities in Visakhapatnam and surrounding areas.,"Nirmaan Foundation works across Visakhapatnam, offering programs in microfinance. They focus on long-term impact and community engagement.",REG25231276,"computers, toys","teaching, construction, medical",https://www.nirmaanfoundation.org
4733,Seva Charitable Trust,Lucknow,Uttar Pradesh,women empowerment,"Working towards sustainable women empowerment solutions, focusing on community-driven projects and capacity building.",A grassroots organization dedicated to women empowerment with experience in project implementation and volunteer coordination.,REG44723377,medical supplies,,
4734,Saathi Foundation,Guwahati,Assam,"mental health, livelihood",To improve access to mental health services for underserved communities in Guwahati and surrounding areas.,"Saathi Foundation works across Guwahati, offering programs in mental health. They focus on long-term impact and community engagement.",REG55268278,medical supplies,,
4735,Dhanak Mission,Mumbai,Maharashtra,education,"We provide support and resources for education, aiming to build local resilience and skills.",A grassroots organization dedicated to education with experience in project implementation and volunteer coordination.,REG20389879,"stationery, hygiene kits, toys","marketing, logistics",
4736,Nirmaan Initiative,Lucknow,Uttar Pradesh,microfinance,To improve access to microfinance services for underserved communities in Lucknow and surrounding areas.,Nirmaan Initiative runs multiple initiatives in Lucknow related to microfinance and works closely with local beneficiaries.,REG59445580,hygiene kits,,
4737,Jeevan Foundation,Mumbai,Maharashtra,"livelihood, education","We provide support and resources for livelihood, aiming to build local resilience and skills.",A grassroots organization dedicated to livelihood with experience in project implementation and volunteer coordination.,REG88628881,"kitchenware, clothes",,
4738,Prerna Foundation,Surat,Gujarat,"environment, disaster relief",To improve access to environment services for underserved communities in Surat and surrounding areas.,"Prerna Foundation works across Surat, offering programs in environment. They focus on long-term impact and community engagement.",REG72036482,"blankets, computers",,
4739,Samanvay Trust,Bhopal,Madhya Pradesh,arts & culture,To improve access to arts & culture services for underserved communities in Bhopal and surrounding areas.,A grassroots organization dedicated to arts & culture with experience in project implementation and volunteer coordination.,REG43843583,clothes,"medical, mentoring",
4740,Asha Centre,Ahmedabad,Gujarat,livelihood,"Focused on inclusive livelihood programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to livelihood with experience in project implementation and volunteer coordination.,REG55002784,,"project management, construction, legal aid",https://www.ashacentre.org
4741,Samarpan Foundation,Nagpur,Maharashtra,"child welfare, disability support",To improve access to child welfare services for underserved communities in Nagpur and surrounding areas.,"Samarpan Foundation works across Nagpur, offering programs in child welfare. They focus on long-term impact and community engagement.",REG71370985,"blankets, food",mentoring,
4742,Nayi Disha Mission,Bengaluru,Karnataka,"housing, environment","We provide support and resources for housing, aiming to build local resilience and skills.","Nayi Disha Mission works across Bengaluru, offering programs in housing. They focus on long-term impact and community engagement.",REG35171686,"stationery, medical supplies, blankets","construction, event management, agriculture expertise",
4743,Pragati Mission,Mumbai,Maharashtra,"arts & culture, education","Working towards sustainable arts & culture solutions, focusing on community-driven projects and capacity building.",Pragati Mission runs multiple initiatives in Mumbai related to arts & culture and works closely with local beneficiaries.,REG41083487,"hygiene kits, computers, clothes",,
4744,Samanvay Initiative,Lucknow,Uttar Pradesh,housing,"Focused on inclusive housing programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to housing with experience in project implementation and volunteer coordination.,REG51434888,medical supplies,agriculture expertise,
4745,Saathi Society,Mumbai,Maharashtra,women empowerment,Committed to delivering scalable women empowerment interventions through partnerships with local stakeholders.,"Saathi Society works across Mumbai, offering programs in women empowerment. They focus on long-term impact and community engagement.",REG53411689,"toys, medical supplies, stationery",fundraising,https://www.saathisociety.org
4746,Udaan Society,Kochi,Kerala,"human rights, disability support","We provide support and resources for human rights, aiming to build local resilience and skills.",A grassroots organization dedicated to human rights with experience in project implementation and volunteer coordination.,REG93369090,,,
4747,Saathi Society,Jaipur,Rajasthan,environment,"Working towards sustainable environment solutions, focusing on community-driven projects and capacity building.",Saathi Society runs multiple initiatives in Jaipur related to environment and works closely with local beneficiaries.,REG70973291,stationery,,
4748,Jeevan Foundation,Kolkata,West Bengal,"disability support, housing",To improve access to disability support services for underserved communities in Kolkata and surrounding areas.,A grassroots organization dedicated to disability support with experience in project implementation and volunteer coordination.,REG75706792,"hygiene kits, toys","medical, marketing, construction",
4749,Jagruti Federation,Visakhapatnam,Andhra Pradesh,rural development,To improve access to rural development services for underserved communities in Visakhapatnam and surrounding areas.,"Jagruti Federation works across Visakhapatnam, offering programs in rural development. They focus on long-term impact and community engagement.",REG23854693,"medical supplies, food, books",project management,https://www.jagrutifederation.org
4750,Jeevan Federation,Visakhapatnam,Andhra Pradesh,animal welfare,To improve access to animal welfare services for underserved communities in Visakhapatnam and surrounding areas.,Jeevan Federation runs multiple initiatives in Visakhapatnam related to animal welfare and works closely with local beneficiaries.,REG60402694,medical supplies,,
4751,Prerna Foundation,Patna,Bihar,"disaster relief, microfinance","We provide support and resources for disaster relief, aiming to build local resilience and skills.","Prerna Foundation works across Patna, offering programs in disaster relief. They focus on long-term impact and community engagement.",REG37777995,"hygiene kits, toys",project management,https://www.prernafoundation.org
4752,Nayi Soch Foundation,Guwahati,Assam,disability support,"Focused on inclusive disability support programs, especially targeting women, children and marginalized groups.",A grassroots organization dedicated to disability support with experience in project implementation and volunteer coordination.,REG99578796,computers,"mentoring, data analysis, legal aid",https://www.nayisochfoundation.org
4753,Samanvay Association,Jaipur,Rajasthan,"rural development, child welfare","We provide support and resources for rural development, aiming to build local resilience and skills.",Samanvay Association runs multiple initiatives in Jaipur related to rural development and works closely with local beneficiaries.,REG6486490,"computers, medical supplies",legal aid,https://www.samanvayassociation.org
